x	y	yall
<20	6.5e-4	7.8e-4
20-24	6.3e-4	6.900000000000001e-4
25-29	6.900000000000001e-4	7.900000000000001e-4
30-34	0.00115	0.0012900000000000001
35-39	0.00286	0.0038000000000000004
40+	0.00886	0.01218
